artist,artist_id,name,song_id,emo,duration,popularity,url
Nio Garcia,5hdhHgpxyniooUiQVaPxQ0,Te Boté - Remix,3V8UKqhEK5zBkBb6d6ub8i,surprise,00:06:57,78,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
Becky G,4obzFoKoKRHIphyHzJ35G3,Sin Pijama,2ijef6ni2amuunRoKTlgww,surprise,00:03:08,70,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,Shape of You,7qiZfU4dY1lWllzX7mPBI3,surprise,00:03:53,86,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
The Knocks,2x7EATekOPhFGRx3syMGEC,Classic (feat. POWERS),42UaTVeWaNaME7ttu61ykG,surprise,00:04:08,52,https://open.spotify.com/track/42UaTVeWaNaME7ttu61ykG
The Foundations,4GITZM5LCR2KcdlgEOrNLD,Build Me Up Buttercup,3XcuLPQb1LG13ZJEEa6wUI,surprise,00:02:58,0,https://open.spotify.com/track/3XcuLPQb1LG13ZJEEa6wUI
Fontella Bass,6k3YMXJ1MJLgUEAlSPC6hA,Rescue Me,5Gird0FlC1rfCDujzz0C4N,surprise,00:02:52,0,https://open.spotify.com/track/5Gird0FlC1rfCDujzz0C4N
Michael Jackson,3fMbdgg4jU18AjLCKBhRSm,The Way You Make Me Feel - 2012 Remaster,0sKlV58cODrjxGFOyf9IXY,surprise,00:04:58,74,https://open.spotify.com/track/0sKlV58cODrjxGFOyf9IXY
Michael Jackson,3fMbdgg4jU18AjLCKBhRSm,Rock with You - Single Version,7oOOI85fVQvVnK5ynNMdW7,surprise,00:03:40,75,https://open.spotify.com/track/7oOOI85fVQvVnK5ynNMdW7
The Jackson 5,2iE18Oxc8YSumAU232n4rW,ABC,6nzhhT57iQYrbqumru9NNP,surprise,00:02:59,0,https://open.spotify.com/track/6nzhhT57iQYrbqumru9NNP
Adele,4dpARuHxo51G3z768sgnrY,Someone Like You,6QPKYGnAW9QozVz2dSWqRg,surprise,00:04:45,3,https://open.spotify.com/track/6QPKYGnAW9QozVz2dSWqRg
Adele,4dpARuHxo51G3z768sgnrY,Skyfall,3mr584ZFSkZrWja9kJAzlb,surprise,00:04:46,0,https://open.spotify.com/track/3mr584ZFSkZrWja9kJAzlb
The Source,25EAVXsff9L7LHy7UIsPbR,You Got The Love,6hGysJfPg591z5fqvTYL8O,surprise,00:03:11,0,https://open.spotify.com/track/6hGysJfPg591z5fqvTYL8O
Lukas Graham,25u4wHJWxCA9vO0CzxAbK7,7 Years,2vDT1uU6hZgdp3PbWGr0Xy,surprise,00:03:57,0,https://open.spotify.com/track/2vDT1uU6hZgdp3PbWGr0Xy
OMI,5MouCg6ta7zAxsfMEbc1uh,Cheerleader - Felix Jaehn Remix Radio Edit,7vFoFDWqTX0mHzLfrF1Cfy,surprise,00:03:00,79,https://open.spotify.com/track/7vFoFDWqTX0mHzLfrF1Cfy
Justin Bieber,1uNFoZAHBGtllmzznpCI3s,Love Yourself,3hB5DgAiMAQ4DzYbsMq1IT,surprise,00:03:53,1,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT
Sia,5WUlDfRSoLAfcVSX1WnrxN,Chandelier,4VrWlk8IQxevMvERoX08iC,surprise,00:03:36,79,https://open.spotify.com/track/4VrWlk8IQxevMvERoX08iC
Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,Believer,05KfyCEE6otdlT1pp2VIjP,surprise,00:03:23,0,https://open.spotify.com/track/05KfyCEE6otdlT1pp2VIjP
Sam Smith,2wY79sveU1sp5g7SokKOiI,Stay With Me,7IHOIqZUUInxjVkko181PB,surprise,00:02:52,4,https://open.spotify.com/track/7IHOIqZUUInxjVkko181PB
Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,Treat You Better,1rtDwblY1CJ9i490fMzJnc,surprise,00:03:07,0,https://open.spotify.com/track/1rtDwblY1CJ9i490fMzJnc
Lorde,163tK9Wjr9P9DmM0AVK7lm,Royals,2dLLR6qlu5UJ5gk0dKz0h3,surprise,00:03:10,79,https://open.spotify.com/track/2dLLR6qlu5UJ5gk0dKz0h3
Gotye,2AsusXITU8P25dlRNhcAbG,Somebody That I Used To Know,4wCmqSrbyCgxEXROQE6vtV,surprise,00:04:04,77,https://open.spotify.com/track/4wCmqSrbyCgxEXROQE6vtV
American Authors,0MlOPi3zIDMVrfA9R04Fe3,Best Day Of My Life,5Hroj5K7vLpIG4FNCRIjbP,surprise,00:03:14,80,https://open.spotify.com/track/5Hroj5K7vLpIG4FNCRIjbP
Owl City,07QEuhtrNmmZ0zEcqE9SF6,Fireflies,3DamFFqW32WihKkTVlwTYQ,surprise,00:03:48,79,https://open.spotify.com/track/3DamFFqW32WihKkTVlwTYQ
